mutation_fitness,occurance_time,establishment_time,mutation_number,cell_number,lineage_label
0.06580059670203159,30,41,1,0,18
0.027480815779335088,42,66,1,4,36
0.019364247910067092,26,65,1,3,44
0.08187254881285204,17,41,1,342,153
0.043641672858328914,25,41,1,19,217
0.0778539877357009,41,55,1,12,289
0.09190658846712796,20,25,1,1503,339
0.021398794225847746,31,49,1,5,522
0.03657628776242185,-5,27,1,6,569
0.06680210359821813,41,57,1,23,665
0.050702726557876034,35,51,1,1,672
0.13599076941619906,28,33,1,0,686
0.06881342975270999,37,54,1,0,697
0.08086611827535532,-2,5,1,1710,763
0.05372448900581982,-3,17,1,45,870
0.1079467224098847,40,48,1,28,929
0.07785472696182134,42,73,1,11,1011
0.0647907164854554,2,25,1,260,1043
0.04565724552568425,15,41,1,7,1179
0.13599078065676942,1,17,1,34373,1215
0.07685264925226855,57,73,1,35,1225
0.11696351786395855,21,28,1,500,1268
0.018347318569843257,11,49,1,4,1275
0.1439991566476915,72,73,1,110,1360
0.08688883763211028,62,82,1,30,1378
0.09692016107428712,58,73,1,11,1451
0.11295695758864008,58,72,1,0,1510
0.05976356637433109,-5,21,1,57,1550
0.026466185962094383,-9,41,1,9,1571
0.07986358752074554,9,25,1,322,1609
0.056743079072365345,44,73,1,3,1677
0.13498921038484038,28,33,1,5668,1839
0.10794711849538179,48,56,1,0,2024
0.09892550037588287,20,42,1,123,2086
0.05473091379329951,57,73,1,10,2109
0.07785677403393834,22,37,1,102,2203
0.1129560531838109,3,9,1,22785,2279
0.0758487972608332,26,40,1,256,2326
0.034551584964613496,0,18,1,34,2408
0.0396092979819296,30,44,1,4,2464
0.08287517737600668,21,33,1,116,2498
0.08488195036807772,53,65,1,61,2519
0.04263119031829103,-6,11,1,3,2554
0.09992828495565786,42,49,1,246,2568
0.026460405661133037,8,25,1,40,2584
0.03758583039344856,51,65,1,0,2633
0.09692144025861563,61,73,1,38,2642
0.08588807006519171,59,66,1,47,2669
0.11496036041386849,39,48,1,0,2713
0.08989941704230386,3,14,1,1726,2735
0.07785595852610044,24,33,1,296,2787
0.05976190626443505,36,50,1,13,2791
0.11996869332132433,50,57,1,209,2814
0.03455697823372737,26,49,1,19,2842
0.14099591381262508,34,46,1,0,2939
0.05774703810243003,37,49,1,24,3039
0.08588692085576295,19,26,1,649,3059
0.015294502046302175,-11,59,1,6,3064
0.09391248560258816,32,43,1,130,3090
0.08889730924721027,36,57,1,0,3233
0.12297320881352303,10,24,1,18120,3439
0.12698061325447632,62,82,1,0,3440
0.04061183441528334,17,49,1,11,3476
0.12297425879465662,43,57,1,452,3483
0.04868897282183099,4,25,1,0,3615
0.11796582294601209,24,26,1,8423,3645
0.0808663360730901,55,63,1,32,3646
0.08488362408580302,34,41,1,43,3706
0.02747363786777952,3,34,1,18,3713
0.0547288209824246,13,22,1,31,3791
0.13098507852349883,19,30,1,13817,3901
0.06780679413273355,28,40,1,32,3927
0.11996844976455984,54,57,1,227,3958
0.11095370147095997,24,29,1,1909,3958
0.08387817288276933,68,82,1,21,3999
0.05271269882100245,5,13,1,79,4043
0.1259787421592637,72,74,1,0,4110
0.0868910737700819,-8,7,1,1298,4135
0.05674586120002222,14,25,1,47,4153
0.1169633289092739,50,58,1,0,4202
0.09591755256216745,-1,5,1,6638,4439
0.06579922262438005,23,55,1,0,4645
0.0848814722597116,-2,7,1,1188,4676
0.12998338153167796,60,66,1,30,4714
0.02848915703326194,-9,5,1,27,4755
0.12798095963230718,27,33,1,1457,4763
0.07383941486778905,14,24,1,62,4768
0.0627823062701913,11,52,1,0,4904
0.1259789483461373,-11,1,1,298156,5028
0.05472940988918077,-1,17,1,127,5035
0.1269796648891219,2,9,1,0,5118
0.0929078581370526,-8,1,1,2068,5141
0.06076906109786315,29,41,1,70,5201
0.05171159856409954,-1,8,1,84,5215
0.06278151614716523,50,63,1,2,5236
0.10393808662535661,19,25,1,585,5278
0.043647086673612494,23,48,1,3,5378
0.07986248884617951,9,25,1,224,5389
0.08688828841667438,54,63,1,1,5398
0.09591601850363227,4,11,1,0,5598
0.07182766556954237,42,50,1,30,5619
0.11696324502307222,-1,4,1,27476,5625
0.0547279237410009,32,58,1,29,5703
0.05170854800950797,23,33,1,34,5868
0.09892446615255916,61,82,1,0,5894
0.04263018989704352,7,37,1,0,5907
0.04566210905161004,39,60,1,7,5919
0.07383736233232842,8,9,1,184,5974
0.09190609956726802,46,81,1,0,5999
0.07182800618530381,47,65,1,7,6092
0.07283382275513943,13,26,1,328,6103
0.10293523629995621,52,65,1,67,6124
0.06479000580339304,10,21,1,0,6159
0.07484000216700909,34,50,1,13,6220
0.13498937519797052,45,50,1,1701,6282
0.132987380723795,18,25,1,902,6356
0.0517062871257088,50,73,1,6,6406
0.08086786615536397,-5,9,1,1300,6410
0.12597844676229344,0,5,1,105001,6423
0.08688857900691895,69,81,1,0,6470
0.12397452534257485,69,75,1,9,6482
0.09691922268100903,7,17,1,0,6582
0.08889708178521136,61,81,1,1,6728
0.10393639589103211,17,25,1,1327,6764
0.05573323418221112,35,57,1,0,6816
0.12798172502645785,3,10,1,9919,6834
0.05775042310785787,-2,10,1,12,7035
0.0496934472688319,46,73,1,0,7067
0.08588530283928242,28,41,1,26,7077
0.10193303809343161,-9,1,1,2031,7097
0.07082540204194777,-6,11,1,241,7152
0.08488280310893737,65,76,1,13,7175
0.057750010974548835,11,27,1,25,7192
0.12597772920289704,-6,1,1,52500,7568
0.08889538819105963,32,41,1,89,7655
0.053721324524569965,23,58,1,3,7741
0.14199758835467027,76,89,1,9,7743
0.035565598998157345,-4,17,1,20,7798
0.13999474487737454,11,24,1,89474,7806
0.12898199374208089,-1,2,1,14288,7809
0.07484093156421286,1,9,1,499,7863
0.08187290978733433,25,44,1,86,7890
0.05271748778543196,29,47,1,8,7902
0.0979221993139789,69,81,1,6,7909
